"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";19;"VfL Wolfsburg";"start";"Grabara";0;90;4,5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"2";19;"VfL Wolfsburg";"start";"Fischer";0;46;4,5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"3";19;"VfL Wolfsburg";"start";"Vavro";0;90;3;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"4";19;"VfL Wolfsburg";"start";"Koulierakis";0;88;4;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"5";19;"VfL Wolfsburg";"start";"Maehle";0;90;4;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;1;0;0;FALSE
"6";19;"VfL Wolfsburg";"start";"Arnold";0;90;4;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"7";19;"VfL Wolfsburg";"start";"Svanberg";0;71;3,5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"8";19;"VfL Wolfsburg";"start";"Gerhardt";0;46;5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"9";19;"VfL Wolfsburg";"start";"Tiago Tomas";0;83;3;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"10";19;"VfL Wolfsburg";"start";"Amoura";0;90;3,5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"11";19;"VfL Wolfsburg";"start";"Wind";0;90;2;"home";"Holstein Kiel";"2";"2";1;0;1;0;0;0;0;0;FALSE
"12";19;"VfL Wolfsburg";"sub";"Skov Olsen";46;90;2,5;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"13";19;"VfL Wolfsburg";"sub";"Wimmer";46;90;1,5;"home";"Holstein Kiel";"2";"2";1;0;1;0;0;1;0;0;TRUE
"14";19;"VfL Wolfsburg";"sub";"Bornauw";71;90;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"15";19;"VfL Wolfsburg";"sub";"Vranckx";83;90;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"16";19;"VfL Wolfsburg";"sub";"L. Nmecha";88;90;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"17";19;"VfL Wolfsburg";"bench";"M. Müller";NA;NA;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"18";19;"VfL Wolfsburg";"bench";"B. Dardai";NA;NA;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"19";19;"VfL Wolfsburg";"bench";"Özcan";NA;NA;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
"20";19;"VfL Wolfsburg";"bench";"K. Behrens";NA;NA;NA;"home";"Holstein Kiel";"2";"2";0;0;0;0;0;0;0;0;FALSE
