"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";6;"FC Augsburg";"start";"Labrovic";0;90;2,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"2";6;"FC Augsburg";"start";"M. Bauer";0;90;3,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;1;0;0;FALSE
"3";6;"FC Augsburg";"start";"Gouweleeuw";0;90;3,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"4";6;"FC Augsburg";"start";"K. Schlotterbeck";0;68;2,5;"home";"Bor. Mönchengladbach";"2";"1";1;0;0;0;0;0;0;0;FALSE
"5";6;"FC Augsburg";"start";"M. Wolf";0;57;4;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"6";6;"FC Augsburg";"start";"Jakic";0;90;3,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"7";6;"FC Augsburg";"start";"Giannoulis";0;90;2;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;TRUE
"8";6;"FC Augsburg";"start";"Onyeka";0;90;3;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"9";6;"FC Augsburg";"start";"Rexhbecaj";0;85;4;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;1;0;0;FALSE
"10";6;"FC Augsburg";"start";"P. Tietz";0;90;3;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"11";6;"FC Augsburg";"start";"Mounié";0;57;4,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"12";6;"FC Augsburg";"sub";"Claude-Maurice";57;90;2,5;"home";"Bor. Mönchengladbach";"2";"1";1;0;0;0;0;0;0;0;FALSE
"13";6;"FC Augsburg";"sub";"Koudossou";57;90;3,5;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"14";6;"FC Augsburg";"sub";"Matsima";68;90;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"15";6;"FC Augsburg";"sub";"F. Jensen";85;90;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"16";6;"FC Augsburg";"bench";"Dahmen";NA;NA;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"17";6;"FC Augsburg";"bench";"Pedersen";NA;NA;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"18";6;"FC Augsburg";"bench";"Breithaupt";NA;NA;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"19";6;"FC Augsburg";"bench";"Maier";NA;NA;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"20";6;"FC Augsburg";"bench";"Kabadayi";NA;NA;NA;"home";"Bor. Mönchengladbach";"2";"1";0;0;0;0;0;0;0;0;FALSE
"21";6;"Bor. Mönchengladbach";"start";"Nicolas";0;90;3,5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"22";6;"Bor. Mönchengladbach";"start";"Scally";0;76;5,5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"23";6;"Bor. Mönchengladbach";"start";"Itakura";0;90;5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"24";6;"Bor. Mönchengladbach";"start";"Elvedi";0;46;3;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"25";6;"Bor. Mönchengladbach";"start";"Netz";0;90;5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;1;0;0;FALSE
"26";6;"Bor. Mönchengladbach";"start";"Sander";0;64;5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"27";6;"Bor. Mönchengladbach";"start";"Weigl";0;90;4,5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;1;0;0;FALSE
"28";6;"Bor. Mönchengladbach";"start";"Cvancara";0;64;5,5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"29";6;"Bor. Mönchengladbach";"start";"Plea";0;81;5;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
"30";6;"Bor. Mönchengladbach";"start";"Stöger";0;90;4;"away";"FC Augsburg";"1";"2";0;0;1;0;0;0;0;0;FALSE
"31";6;"Bor. Mönchengladbach";"start";"Kleindienst";0;90;3;"away";"FC Augsburg";"1";"2";1;0;0;0;0;0;0;0;FALSE
"32";6;"Bor. Mönchengladbach";"sub";"Friedrich";46;90;4;"away";"FC Augsburg";"1";"2";0;0;0;0;0;0;0;0;FALSE
