"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";20;"Werder Bremen";"start";"Zetterer";0;90;3;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;1;0;0;FALSE
"2";20;"Werder Bremen";"start";"Stark";0;90;3;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;1;0;FALSE
"3";20;"Werder Bremen";"start";"Friedl";0;90;3;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;1;0;FALSE
"4";20;"Werder Bremen";"start";"A. Jung";0;86;3;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"5";20;"Werder Bremen";"start";"Weiser";0;90;4;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;1;0;0;FALSE
"6";20;"Werder Bremen";"start";"Lynen";0;90;4;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;1;0;0;FALSE
"7";20;"Werder Bremen";"start";"Kaboré";0;70;3,5;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"8";20;"Werder Bremen";"start";"Bittencourt";0;36;2,5;"home";"1. FSV Mainz 05";"1";"0";1;0;0;0;0;0;0;0;FALSE
"9";20;"Werder Bremen";"start";"Schmid";0;90;2;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;1;0;0;TRUE
"10";20;"Werder Bremen";"start";"Njinmah";0;90;4;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"11";20;"Werder Bremen";"start";"Ducksch";0;70;4;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"12";20;"Werder Bremen";"sub";"Alvero";36;90;5;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"13";20;"Werder Bremen";"sub";"Grüll";70;90;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"14";20;"Werder Bremen";"sub";"Köhn";70;90;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"15";20;"Werder Bremen";"sub";"Pieper";86;90;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"16";20;"Werder Bremen";"bench";"Backhaus";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"17";20;"Werder Bremen";"bench";"Veljkovic";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"18";20;"Werder Bremen";"bench";"Covic";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"19";20;"Werder Bremen";"bench";"Nankishi";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"0";0;0;0;0;0;0;0;0;FALSE
"20";20;"1. FSV Mainz 05";"start";"Zentner";0;90;3,5;"away";"Werder Bremen";"0";"1";0;0;0;0;0;1;0;0;FALSE
"21";20;"1. FSV Mainz 05";"start";"da Costa";0;90;3;"away";"Werder Bremen";"0";"1";0;0;0;0;0;0;0;0;FALSE
"22";20;"1. FSV Mainz 05";"start";"Bell";0;56;5;"away";"Werder Bremen";"0";"1";0;0;0;0;0;0;0;0;FALSE
"23";20;"1. FSV Mainz 05";"start";"Kohr";0;90;4;"away";"Werder Bremen";"0";"1";0;0;0;0;0;0;0;0;FALSE
