"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";29;"VfL Wolfsburg";"start";"Grabara";0;90;3;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"2";29;"VfL Wolfsburg";"start";"Fischer";0;90;2,5;"home";"RB Leipzig";"2";"3";1;0;0;0;0;1;0;0;FALSE
"3";29;"VfL Wolfsburg";"start";"Vavro";0;71;3,5;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"4";29;"VfL Wolfsburg";"start";"Odogu";0;90;4;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"5";29;"VfL Wolfsburg";"start";"Kaminski";0;71;3;"home";"RB Leipzig";"2";"3";0;0;1;0;0;0;0;0;FALSE
"6";29;"VfL Wolfsburg";"start";"Arnold";0;90;4,5;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"7";29;"VfL Wolfsburg";"start";"Gerhardt";0;90;4;"home";"RB Leipzig";"2";"3";0;0;0;0;0;1;0;0;FALSE
"8";29;"VfL Wolfsburg";"start";"B. Dardai";0;86;3;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"9";29;"VfL Wolfsburg";"start";"Wind";0;90;3,5;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"10";29;"VfL Wolfsburg";"start";"Wimmer";0;86;5;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"11";29;"VfL Wolfsburg";"start";"Amoura";0;90;4;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"12";29;"VfL Wolfsburg";"sub";"Skov Olsen";71;90;NA;"home";"RB Leipzig";"2";"3";1;0;0;0;0;0;0;0;FALSE
"13";29;"VfL Wolfsburg";"sub";"Maehle";71;90;NA;"home";"RB Leipzig";"2";"3";0;0;1;0;0;0;0;0;FALSE
"14";29;"VfL Wolfsburg";"sub";"L. Nmecha";86;90;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"15";29;"VfL Wolfsburg";"sub";"Tiago Tomas";86;90;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"16";29;"VfL Wolfsburg";"bench";"M. Müller";NA;NA;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"17";29;"VfL Wolfsburg";"bench";"Koulierakis";NA;NA;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"18";29;"VfL Wolfsburg";"bench";"Roerslev";NA;NA;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"19";29;"VfL Wolfsburg";"bench";"Paredes";NA;NA;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"20";29;"VfL Wolfsburg";"bench";"Vranckx";NA;NA;NA;"home";"RB Leipzig";"2";"3";0;0;0;0;0;0;0;0;FALSE
"21";29;"RB Leipzig";"start";"Gulacsi";0;90;2;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;0;0;0;FALSE
"22";29;"RB Leipzig";"start";"Nedeljkovic";0;77;3,5;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;0;0;0;FALSE
"23";29;"RB Leipzig";"start";"Klostermann";0;90;4;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;0;0;0;FALSE
"24";29;"RB Leipzig";"start";"Lukeba";0;90;3,5;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;0;0;0;FALSE
"25";29;"RB Leipzig";"start";"Bitshiabu";0;90;4;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;1;0;0;FALSE
"26";29;"RB Leipzig";"start";"Vermeeren";0;71;2,5;"away";"VfL Wolfsburg";"3";"2";0;0;1;0;0;0;0;0;FALSE
"27";29;"RB Leipzig";"start";"Seiwald";0;90;3,5;"away";"VfL Wolfsburg";"3";"2";0;0;0;0;0;0;0;0;FALSE
"28";29;"RB Leipzig";"start";"R. Baku";0;71;2,5;"away";"VfL Wolfsburg";"3";"2";0;0;2;0;0;0;0;0;FALSE
"29";29;"RB Leipzig";"start";"Xavi";0;85;2;"away";"VfL Wolfsburg";"3";"2";2;0;0;0;0;1;0;0;FALSE
