"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"484","Stange","Bor. Mönchengladbach",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",4,4,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"485","Stanisic","Bayern München","Abwehr",2.5,"CRO","DF","24",2000,9,9,5,1,2,873,62,9.7,"3.25",42,19,0,0.3,-0.3,"0.00",0,0,0,2,0,1.5,0.5,"1.33",2,0.2,"1.11",0,0.03,-0.03,"0.00",0.21,0.15,0.06,"1.40",0.21,0.18,0.03,"1.17",0,0,0,0,0,46,10,0,0,4,0,0,0,0,0,60,"Josip Stanišić","https://fbref.com/en/players/7ed08d5c/Josip-Stanisic"
"486","Stark","Werder Bremen","Abwehr",2,"GER","DF","29",1995,25,25,1,0,1,2112,81,23.4,"3.36",42,43,0,1.1,-1.1,"0.00",0,0,0,1,0,0.1,0.9,"10.00",1,-0.2,"0.83",0,0.05,-0.05,"0.00",0.04,0,0.04,"Inf",0.04,0.05,-0.01,"0.80",0,4,1,0,1,102,14,0,0,2,0,-3,0,3,0,118,"Niklas Stark","https://fbref.com/en/players/aad48be9/Niklas-Stark"
"487","Staugaard","FC St. Pauli",NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,NA,NA,"NaN",5,2,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"488","Stepanov","Bayer 04 Leverkusen","Sturm",0.5,NA,NA,NA,NA,0,0,0,0,8,0,NA,NA,"NaN",23,8,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"489","Stergiou","VfB Stuttgart","Abwehr",1.8,"SUI","DF","22",2002,11,11,1,0,4,895,75,9.5,"3.77",28,24,1,1.1,-0.1,"0.91",0,0,0,2,0,0.9,1.1,"2.22",3,1,"1.50",0.11,0.11,0,"1.00",0.21,0.1,0.11,"2.10",0.32,0.21,0.11,"1.52",0,0,0,1,0,46,-12,5,0,4,0,0,-6,0,0,37,"Leonidas Stergiou","https://fbref.com/en/players/08391d76/Leonidas-Stergiou"
"490","Stevens","FC St. Pauli","Abwehr",1,"WAL","DF","21",2003,0,0,1,0,14,0,0,0,"NaN",15,19,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"Finley Stevens","https://fbref.com/en/players/7e003182/Finley-Stevens"
"491","Stiller","VfB Stuttgart","Mittelfeld",4.5,"GER","MF","23",2001,31,30,1,1,0,2743,86,30.5,"3.24",57,51,1,1.8,-0.8,"0.56",0,0,0,9,0,7.2,0.8,"1.11",9,0,"1.00",0.03,0.06,-0.03,"0.50",0.26,0.24,0.02,"1.08",0.3,0.29,0.01,"1.03",1,6,0,0,1,126,32,4,0,18,0,0,0,3,0,183,"Angelo Stiller","https://fbref.com/en/players/3b1ed320/Angelo-Stiller"
"492","Strobl","TSG Hoffenheim","Abwehr",0.5,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",3,2,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"493","Sturm","SC Freiburg",NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,"NaN",2,0,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"494","Stöger","Bor. Mönchengladbach","Mittelfeld",3.5,"AUT","MF","30",1993,16,16,15,5,3,1545,50,17.2,"3.57",55,57,1,2.3,-1.3,"0.43",2,2,0,4,0,5.3,-2.3,"0.57",4,-3.6,"0.53",0.06,0.13,-0.07,"0.46",0.17,0.31,-0.14,"0.55",0.23,0.44,-0.21,"0.52",0,3,0,0,0,94,-6,4,8,8,0,0,0,0,0,108,"Kevin Stöger","https://fbref.com/en/players/e5649a78/Kevin-Stoger"
"495","Svanberg","VfL Wolfsburg","Mittelfeld",2.2,"SWE","MF","25",1999,14,14,6,1,2,1224,61,13.5,"3.77",42,35,3,3.6,-0.6,"0.83",0,0,0,1,0,1.7,-0.7,"0.59",4,-1.4,"0.74",0.22,0.27,-0.05,"0.81",0.07,0.13,-0.06,"0.54",0.3,0.4,-0.1,"0.75",0,4,0,0,0,68,-16,12,0,2,0,0,0,0,0,66,"Mattias Svanberg","https://fbref.com/en/players/92d83c27/Mattias-Svanberg"
"496","Svensson","Borussia Dortmund","Abwehr",1.7,"SWE","DF,FW","22",2002,8,8,4,1,0,779,65,8.7,"3.06",35,14,1,0.8,0.2,"1.25",0,0,0,3,0,1.2,1.8,"2.50",4,2.1,"2.11",0.12,0.09,0.03,"1.33",0.35,0.14,0.21,"2.50",0.46,0.22,0.24,"2.09",0,0,0,0,0,40,16,5,0,6,0,0,0,0,0,67,"Daniel Svensson","https://fbref.com/en/players/124c9382/Daniel-Svensson"
"497","Swider","Bor. Mönchengladbach","Mittelfeld",0.5,NA,NA,NA,NA,0,0,0,0,4,0,NA,NA,"NaN",10,3,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"498","Süle","Borussia Dortmund","Abwehr",3,"GER","DF","28",1995,12,12,3,1,6,1059,71,11.7,"3.27",45,29,0,0.6,-0.6,"0.00",0,0,0,0,0,0.1,-0.1,"0.00",0,-0.7,"0.00",0,0.05,-0.05,"0.00",0,0.01,-0.01,"0.00",0,0.06,-0.06,"0.00",0,1,0,0,0,54,12,0,0,0,0,0,0,0,0,66,"Niklas Süle","https://fbref.com/en/players/e33c06cf/Niklas-Sule"
"499","T. Becker","Holstein Kiel","Abwehr",1.8,"GER","DF","27",1997,28,28,2,2,1,2447,82,27.2,"3.95",43,73,0,1.4,-1.4,"0.00",0,0,0,3,0,0.8,1.2,"2.50",2,-0.2,"0.91",0,0.05,-0.05,"0.00",0.07,0.03,0.04,"2.33",0.07,0.08,-0.01,"0.88",0,2,0,0,0,116,-54,0,0,6,0,0,0,0,0,68,"Timo Becker","https://fbref.com/en/players/543ddcaf/Timo-Becker"
"500","T. Horn","VfL Bochum","Tor",2.4,"GER","GK","31",1993,13,13,0,0,21,1170,90,13,"3.12",32,68,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,2,0,0,2,52,20,0,0,0,0,0,0,6,6,84,"Timo Horn","https://fbref.com/en/players/3cd9e95a/Timo-Horn"
"501","T. Müller","Bayern München","Mittelfeld",4.2,"GER","MF,FW","34",1989,12,12,18,8,4,1217,41,13.6,"3.30",99,32,1,3.8,-2.8,"0.26",0,0,0,6,0,2.9,1.1,"1.38",5,-1.7,"0.75",0.07,0.28,-0.21,"0.25",0.29,0.21,0.08,"1.38",0.37,0.49,-0.12,"0.76",0,3,0,0,0,84,16,4,0,12,0,0,0,0,0,116,"Thomas Müller","https://fbref.com/en/players/3c6089ab/Thomas-Muller"
"502","T. Philipp","TSG Hoffenheim",NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,"NaN",3,5,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"503","Tabakovic","TSG Hoffenheim","Sturm",2.5,"BIH","FW","30",1994,6,6,16,7,8,809,37,9.1,"3.85",40,57,3,3.3,-0.3,"0.91",0,0,0,1,0,1.2,-0.2,"0.83",4,-0.6,"0.87",0.33,0.37,-0.04,"0.89",0.11,0.14,-0.03,"0.79",0.44,0.5,-0.06,"0.88",0,0,0,0,0,56,-18,9,0,2,0,0,0,0,0,49,"Haris Tabakovic","https://fbref.com/en/players/723b19c7/Haris-Tabakovic"
"504","Tah","Bayer 04 Leverkusen","Abwehr",5.5,"GER","DF","28",1996,33,33,0,0,0,2970,90,33,"2.83",71,43,3,1.1,1.9,"2.73",0,0,0,0,0,0.4,-0.4,"0.00",3,1.5,"2.00",0.09,0.03,0.06,"3.00",0,0.01,-0.01,"0.00",0.09,0.05,0.04,"1.80",0,3,0,0,3,132,88,15,0,0,0,0,0,9,0,244,"Jonathan Tah","https://fbref.com/en/players/bd142efb/Jonathan-Tah"
"505","Tapsoba","Bayer 04 Leverkusen","Abwehr",3.6,"BFA","DF","25",1999,29,29,0,0,2,2512,87,27.9,"3.43",61,38,0,1.1,-1.1,"0.00",0,0,0,0,0,0.2,-0.2,"0.00",0,-1.3,"0.00",0,0.04,-0.04,"0.00",0,0.01,-0.01,"0.00",0,0.05,-0.05,"0.00",1,4,0,0,0,116,8,0,0,0,0,0,0,0,0,124,"Edmond Tapsoba","https://fbref.com/en/players/a73c8f95/Edmond-Tapsoba"
"506","Tel","Bayern München",NA,NA,"FRA","FW,MF","19",2005,2,2,6,2,9,250,31,2.8,"4.12",51,14,0,0.7,-0.7,"0.00",0,0,0,1,0,0.3,0.7,"3.33",1,0,"1.00",0,0.26,-0.26,"0.00",0.35,0.1,0.25,"3.50",0.35,0.36,-0.01,"0.97",0,0,0,0,0,20,-10,0,0,2,0,0,0,0,0,12,"Mathys Tel","https://fbref.com/en/players/829aa60c/Mathys-Tel"
"507","Tella","Bayer 04 Leverkusen","Sturm",3,"NGA","MF,FW","25",1999,17,17,10,4,3,1367,51,15.1,"3.81",59,36,2,3.1,-1.1,"0.65",0,0,0,4,0,1.5,2.5,"2.67",6,1.4,"1.30",0.13,0.2,-0.07,"0.65",0.26,0.1,0.16,"2.60",0.4,0.31,0.09,"1.29",0,1,0,0,0,88,-26,6,0,8,0,0,0,0,0,76,"Nathan Tella","https://fbref.com/en/players/f1e94cd6/Nathan-Tella"
"508","Terrier","Bayer 04 Leverkusen","Sturm",3,"FRA","MF,FW","27",1997,7,6,8,3,0,585,39,6.5,"3.56",41,22,2,2.4,-0.4,"0.83",0,0,0,1,0,0.9,0.1,"1.11",3,-0.3,"0.91",0.31,0.38,-0.07,"0.82",0.15,0.14,0.00999999999999998,"1.07",0.46,0.52,-0.06,"0.88",0,1,0,0,0,44,-2,6,0,2,0,0,0,0,0,50,"Martin Terrier","https://fbref.com/en/players/5148dcc5/Martin-Terrier"
"509","Theate","Eintracht Frankfurt","Abwehr",2.7,"BEL","DF","24",2000,31,31,0,0,0,2723,88,30,"3.35",57,41,0,2.4,-2.4,"0.00",0,0,0,1,0,1,-1,"0.00",0,-3.4,"0.00",0,0.08,-0.08,"0.00",0,0.03,-0.03,"0.00",0,0.11,-0.11,"0.00",0,3,1,0,0,124,18,0,0,2,0,-3,0,0,0,141,"Arthur Theate","https://fbref.com/en/players/df8d6029/Arthur-Theate"
"510","Theuerkauf","1. FC Heidenheim","Mittelfeld",1.3,"GER","MF","37",1987,0,0,1,0,17,21,21,0.2,"NaN",21,36,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0.14,-0.14,"0.00",0,0,0,"NaN",0,0.14,-0.14,"0.00",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"Norman Theuerkauf","https://fbref.com/en/players/0cbf4c54/Norman-Theuerkauf"
"511","Thomalla","1. FC Heidenheim","Mittelfeld",1,"GER","MF","31",1992,0,0,1,0,0,3,3,0,"NaN",1,3,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"Denis Thomalla","https://fbref.com/en/players/b9ac6e0e/Denis-Thomalla"
"512","Tiago Tomas","VfL Wolfsburg","Sturm",1.6,"POR","FW,MF","22",2002,23,23,9,4,1,1896,59,20.9,"3.80",51,53,6,5.4,0.6,"1.11",0,0,0,2,1,2.6,-1.6,"0.38",7,-1.1,"0.86",0.29,0.26,0.03,"1.12",0.05,0.13,-0.08,"0.38",0.33,0.38,-0.05,"0.87",0,7,0,0,0,110,-32,18,0,4,2,0,0,0,0,102,"Tiago Tomás","https://fbref.com/en/players/b492126a/Tiago-Tomas"
"513","Tohumcu","TSG Hoffenheim","Mittelfeld",1.7,"GER","MF,FW","19",2004,3,3,9,3,8,370,31,4.2,"4.08",28,41,0,0.1,-0.1,"0.00",0,0,0,1,0,0.4,0.6,"2.50",1,0.5,"2.00",0,0.03,-0.03,"0.00",0.24,0.09,0.15,"2.67",0.24,0.12,0.12,"2.00",0,3,0,0,0,30,-14,0,0,2,0,0,0,0,0,18,"Umut Tohumcu","https://fbref.com/en/players/e547d3cf/Umut-Tohumcu"
"514","Tolkin","Holstein Kiel","Abwehr",1.4,"USA","DF,MF","22",2002,9,9,2,0,2,739,67,8.2,"3.56",20,30,0,0.1,-0.1,"0.00",0,0,0,2,0,0.7,1.3,"2.86",2,1.3,"2.86",0,0.01,-0.01,"0.00",0.24,0.08,0.16,"3.00",0.24,0.09,0.15,"2.67",0,0,0,0,0,40,-2,0,0,4,0,0,0,0,0,42,"John Tolkin","https://fbref.com/en/players/5e88c524/John-Tolkin"
"515","Topp","Werder Bremen","Sturm",1.4,"GER","FW,MF","20",2004,1,1,18,1,3,233,12,2.8,"5.00",36,32,2,1,1,"2.00",0,0,0,2,0,2,0,"1.00",4,1,"1.33",0.71,0.35,0.36,"2.03",0.71,0.72,-0.01,"0.99",1.43,1.08,0.35,"1.32",0,1,0,0,0,40,-12,6,0,4,0,0,0,0,0,38,"Keke Maximilian Topp","https://fbref.com/en/players/ebb32f3a/Keke-Maximilian-Topp"
"516","Touré","TSG Hoffenheim","Mittelfeld",1.6,"CIV","FW,MF","18",2006,7,7,6,0,1,610,47,6.8,"3.57",20,28,0,1.4,-1.4,"0.00",0,0,0,3,0,1.9,1.1,"1.58",3,-0.3,"0.91",0,0.21,-0.21,"0.00",0.44,0.28,0.16,"1.57",0.44,0.49,-0.05,"0.90",0,1,0,0,0,40,-2,0,0,6,0,0,0,0,0,44,"Bazoumana Touré","https://fbref.com/en/players/93945a50/Bazoumana-Toure"
"517","Touré","VfB Stuttgart","Sturm",2.5,"MLI","FW,MF","22",2001,3,3,9,1,1,349,29,4,"3.88",27,23,2,1.6,0.4,"1.25",0,0,0,1,0,1.1,-0.1,"0.91",3,0.2,"1.07",0.51,0.41,0.1,"1.24",0.25,0.29,-0.04,"0.86",0.76,0.7,0.0600000000000001,"1.09",0,0,0,0,1,30,-6,6,0,2,0,0,0,3,0,35,"El Bilal Touré","https://fbref.com/en/players/47c609d5/El-Bilal-Toure"
"518","Tousart","1. FC Union Berlin","Mittelfeld",2.4,"FRA","MF","27",1997,6,6,9,4,11,557,37,6.2,"3.85",29,41,0,0.4,-0.4,"0.00",0,0,0,1,0,0.5,0.5,"2.00",1,0.2,"1.25",0,0.06,-0.06,"0.00",0.16,0.07,0.09,"2.29",0.16,0.14,0.02,"1.14",0,2,0,0,0,42,-14,0,0,2,0,0,0,0,0,30,"Lucas Tousart","https://fbref.com/en/players/71ec39ef/Lucas-Tousart"
"519","Traoré","1. FC Heidenheim","Abwehr",1.8,"GER","DF","26",1998,30,30,0,0,2,2622,87,29.1,"3.72",36,62,0,0.5,-0.5,"0.00",0,0,0,1,0,1.6,-0.6,"0.62",1,-1.2,"0.45",0,0.02,-0.02,"0.00",0.03,0.06,-0.03,"0.50",0.03,0.07,-0.04,"0.43",0,6,0,0,0,120,-26,0,0,2,0,0,0,0,0,96,"Omar Traoré","https://fbref.com/en/players/f44e8a73/Omar-Traore"
"520","Trapp","Eintracht Frankfurt","Tor",3.2,"GER","GK","34",1990,26,26,0,0,0,2296,88,25.5,"3.15",51,35,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,104,36,0,0,0,0,0,0,0,12,152,"Kevin Trapp","https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
"521","Treu","FC St. Pauli","Abwehr",1.4,"GER","MF,DF","23",2000,33,33,0,0,0,2884,87,32,"3.55",28,40,0,1.2,-1.2,"0.00",0,0,0,3,0,2.5,-0.5,"0.80",2,-1.7,"0.54",0,0.04,-0.04,"0.00",0.06,0.08,-0.02,"0.75",0.06,0.12,-0.06,"0.50",1,2,0,0,1,132,-6,0,0,6,0,0,0,3,0,135,"Philipp Treu","https://fbref.com/en/players/047822ad/Philipp-Treu"
"522","Trimmel","1. FC Union Berlin","Abwehr",1.7,"AUT","DF,MF","37",1987,20,20,6,2,7,1745,67,19.3,"3.64",35,48,0,0.2,-0.2,"0.00",0,0,0,3,0,2.1,0.9,"1.43",3,0.7,"1.30",0,0.01,-0.01,"0.00",0.16,0.11,0.05,"1.45",0.16,0.12,0.04,"1.33",0,5,0,0,0,92,-12,0,0,6,0,0,0,0,0,86,"Christopher Trimmel","https://fbref.com/en/players/056d2d95/Christopher-Trimmel"
"523","Tuta","Eintracht Frankfurt","Abwehr",1.8,"BRA","DF,MF","25",1999,26,26,4,1,0,2275,76,25.3,"3.50",62,36,2,1.1,0.9,"1.82",0,0,0,1,0,0.3,0.7,"3.33",3,1.6,"2.14",0.08,0.04,0.04,"2.00",0.04,0.01,0.03,"4.00",0.12,0.06,0.06,"2.00",1,8,0,0,0,112,0,10,0,2,0,0,0,0,0,124,"Tuta","https://fbref.com/en/players/35d64857/Tuta"
"524","Ullrich","Bor. Mönchengladbach","Abwehr",0.6,"GER","DF","20",2004,24,24,2,1,3,1920,74,21.1,"3.68",49,49,1,0.9,0.1,"1.11",0,0,0,2,0,1.8,0.2,"1.11",3,0.3,"1.11",0.05,0.04,0.01,"1.25",0.09,0.09,0,"1.00",0.14,0.13,0.01,"1.08",0,4,0,0,1,100,-18,5,0,4,0,0,0,3,0,94,"Lukas Ullrich","https://fbref.com/en/players/d646c218/Lukas-Ullrich"
"525","Ulreich","Bayern München","Tor",1,"GER","GK","35",1988,1,1,0,0,15,90,90,1,"3.00",52,14,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,8,"Sven Ulreich","https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
"526","Undav","VfB Stuttgart","Sturm",5.5,"GER","FW,MF","28",1996,20,20,7,2,0,1731,64,19.2,"3.23",48,44,9,11.7,-2.7,"0.77",0,0,0,3,0,3.6,-0.6,"0.83",12,-3.2,"0.79",0.47,0.61,-0.14,"0.77",0.16,0.19,-0.03,"0.84",0.63,0.79,-0.16,"0.80",0,4,0,0,2,94,24,27,0,6,0,0,0,6,0,157,"Deniz Undav","https://fbref.com/en/players/dd549382/Deniz-Undav"
"527","Upamecano","Bayern München","Abwehr",3,"FRA","DF","25",1998,20,20,0,0,2,1763,88,19.5,"2.90",66,20,2,1.2,0.8,"1.67",0,0,0,0,0,0.5,-0.5,"0.00",2,0.3,"1.18",0.1,0.06,0.04,"1.67",0,0.03,-0.03,"0.00",0.1,0.09,0.01,"1.11",0,6,0,0,0,80,48,10,0,0,0,0,0,0,0,138,"Dayot Upamecano","https://fbref.com/en/players/d248cd8f/Dayot-Upamecano"
"528","Urbig","Bayern München","Tor",1,"GER","GK","20",2003,8,8,0,0,7,720,90,8,"3.25",41,16,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,32,8,0,0,0,0,0,0,0,4,44,"Jonas Urbig","https://fbref.com/en/players/925bbcdc/Jonas-Urbig"
"529","Uzun","Eintracht Frankfurt","Sturm",2,"TUR","MF,FW","18",2005,6,6,14,4,13,668,33,7.5,"3.45",68,44,4,3,1,"1.33",0,0,0,2,0,1.1,-0.1,"0.91",5,0.9,"1.22",0.53,0.4,0.13,"1.32",0.13,0.15,-0.02,"0.87",0.67,0.55,0.12,"1.22",0,1,0,0,1,52,2,12,0,4,0,0,0,3,0,73,"Can Uzun","https://fbref.com/en/players/1d0b134a/Can-Uzun"
"530","Vagnoman","VfB Stuttgart","Abwehr",2.2,"GER","DF,MF","23",2000,19,19,7,4,2,1836,71,20.4,"3.89",54,42,1,1.5,-0.5,"0.67",0,0,0,2,0,2.1,-1.1,"0.48",2,-1.5,"0.57",0.05,0.07,-0.02,"0.71",0.05,0.1,-0.05,"0.50",0.1,0.17,-0.07,"0.59",0,4,0,0,0,90,-36,5,0,4,0,0,0,0,0,63,"Josha Vagnoman","https://fbref.com/en/players/fb377d11/Josha-Vagnoman"
"531","Van der Heyden","FC St. Pauli","Abwehr",1.2,"BEL","DF,MF","26",1998,11,11,2,1,0,909,70,9.7,"3.83",8,17,1,1.7,-0.7,"0.59",0,0,0,0,0,0,0,"NaN",1,-0.8,"0.56",0.1,0.18,-0.08,"0.56",0,0,0,"NaN",0.1,0.18,-0.08,"0.56",0,2,1,0,0,48,-16,5,0,0,0,-3,0,0,0,34,"Siebe Van Der Heyden","https://fbref.com/en/players/cf9bdd43/Siebe-Van-Der-Heyden"
"532","Vandevoordt","RB Leipzig","Tor",1,"BEL","GK","22",2002,4,4,2,1,28,427,71,4.8,"3.30",53,48,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,24,"Maarten Vandevoordt","https://fbref.com/en/players/f9e0c603/Maarten-Vandevoordt"
"533","Vargas","FC Augsburg","Mittelfeld",1.8,"SUI","MF,FW","25",1998,3,3,5,2,2,303,38,3.4,"3.90",11,26,0,0.7,-0.7,"0.00",0,0,0,0,0,0.7,-0.7,"0.00",0,-1.4,"0.00",0,0.2,-0.2,"0.00",0,0.2,-0.2,"0.00",0,0.4,-0.4,"0.00",0,3,0,0,0,22,-8,0,0,0,0,0,0,0,0,14,"Ruben Vargas","https://fbref.com/en/players/6ecbddf6/Ruben-Vargas"
"534","Vasilj","FC St. Pauli","Tor",2.2,"BIH","GK","28",1995,33,33,0,0,0,2970,90,33,"2.77",26,39,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,1,0,6,132,96,0,0,0,0,-3,0,18,18,261,"Nikola Vasilj","https://fbref.com/en/players/f038585f/Nikola-Vasilj"
"535","Vavro","VfL Wolfsburg","Abwehr",1.8,"SVK","DF","28",1996,27,27,2,1,2,2461,85,27.3,"3.45",52,50,2,1.4,0.6,"1.43",0,0,0,1,0,0.2,-0.2,"0.00",2,0.4,"1.25",0.07,0.05,0.02,"1.40",0,0.01,-0.01,"0.00",0.07,0.06,0.01,"1.17",0,4,0,0,2,112,6,10,0,2,0,0,0,6,0,136,"Denis Vavro","https://fbref.com/en/players/08990838/Denis-Vavro"
"536","Veljkovic","Werder Bremen","Abwehr",1.7,"SRB","DF","28",1995,11,11,3,2,4,1027,73,11.4,"3.65",29,36,0,0.6,-0.6,"0.00",0,0,0,1,0,0.2,0.8,"5.00",1,0.3,"1.43",0,0.05,-0.05,"0.00",0.09,0.01,0.08,"9.00",0.09,0.06,0.03,"1.50",0,1,0,0,0,50,-8,0,0,2,0,0,0,0,0,44,"Miloš Veljković","https://fbref.com/en/players/a5ae8f8e/Milos-Veljkovic"
"537","Veratschnig","1. FSV Mainz 05","Abwehr",1.5,"AUT","DF,MF","21",2003,2,2,13,3,12,357,24,4,"3.30",49,36,0,0.2,-0.2,"0.00",0,0,0,0,0,0.3,-0.3,"0.00",0,-0.5,"0.00",0,0.06,-0.06,"0.00",0,0.08,-0.08,"0.00",0,0.13,-0.13,"0.00",0,1,0,0,0,34,4,0,0,0,0,0,0,0,0,38,"Nikolas Veratschnig","https://fbref.com/en/players/13496b77/Nikolas-Veratschnig"
"538","Vermeeren","RB Leipzig","Mittelfeld",2.2,"BEL","MF","19",2005,18,18,10,5,4,1578,56,17.5,"3.85",50,47,0,0.4,-0.4,"0.00",0,0,0,2,0,0.9,1.1,"2.22",2,0.7,"1.54",0,0.02,-0.02,"0.00",0.11,0.05,0.06,"2.20",0.11,0.07,0.04,"1.57",0,7,0,0,0,92,-32,0,0,4,0,0,0,0,0,64,"Arthur Vermeeren","https://fbref.com/en/players/722494dc/Arthur-Vermeeren"
"539","Vertessen","1. FC Union Berlin","Sturm",1.7,"BEL","MF,FW","23",2001,7,7,10,6,1,718,42,8,"3.77",16,25,1,1.3,-0.3,"0.77",0,0,0,0,0,1.6,-1.6,"0.00",1,-1.9,"0.34",0.13,0.16,-0.03,"0.81",0,0.2,-0.2,"0.00",0.13,0.36,-0.23,"0.36",0,2,0,0,0,48,-14,3,0,0,0,0,0,0,0,37,"Yorbe Vertessen","https://fbref.com/en/players/e8ef59da/Yorbe-Vertessen"
"540","Vidovic","1. FSV Mainz 05","Sturm",1.2,"CRO","MF","20",2003,0,0,1,0,2,3,3,0,"NaN",6,4,0,0.1,-0.1,"0.00",0,0,0,0,0,0,0,"NaN",0,-0.1,"0.00",0,1.17,-1.17,"0.00",0,0,0,"NaN",0,1.17,-1.17,"0.00",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"Gabriel Vidovic","https://fbref.com/en/players/5360a956/Gabriel-Vidovic"
"541","Vidovic","Bayern München","Sturm",1.2,"CRO","MF","20",2003,0,0,4,0,8,20,5,0.3,"NaN",33,13,0,0.1,-0.1,"0.00",0,0,0,0,0,0,0,"NaN",0,-0.1,"0.00",0,0.41,-0.41,"0.00",0,0,0,"NaN",0,0.41,-0.41,"0.00",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,"Gabriel Vidovic","https://fbref.com/en/players/5360a956/Gabriel-Vidovic"
"542","Vogt","1. FC Union Berlin","Abwehr",2.5,"GER","DF","32",1991,16,16,2,2,5,1372,76,15.2,"3.58",22,28,0,0,0,"NaN",1,1,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,6,0,0,1,68,-6,0,5,0,0,0,0,3,0,70,"Kevin Vogt","https://fbref.com/en/players/1d8e9add/Kevin-Vogt"
