"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"452","Scally","Bor. Mönchengladbach","Abwehr",1.5,"USA","DF","21",2002,30,29,2,1,1,2586,81,28.6,"4.00",54,54,0,0.4,-0.4,"0.00",0,0,0,0,0,1.1,-1.1,"0.00",0,-1.5,"0.00",0,0.01,-0.01,"0.00",0,0.04,-0.04,"0.00",0,0.05,-0.05,"0.00",0,6,0,0,0,124,-60,0,0,0,0,0,0,0,0,64,"Joe Scally","https://fbref.com/en/players/236f02cd/Joe-Scally"
"453","Schick","Bayer 04 Leverkusen","Sturm",4,"CZE","FW","28",1996,19,19,12,2,2,1682,54,18.7,"3.00",70,42,20,11.9,8.1,"1.68",1,1,0,1,1,0.6,-0.6,"0.00",20,7.5,"1.60",1.07,0.63,0.44,"1.70",0,0.03,-0.03,"0.00",1.07,0.67,0.4,"1.60",0,4,0,0,3,100,42,60,3,2,2,0,0,9,0,218,"Patrik Schick","https://fbref.com/en/players/5d4f7d61/Patrik-Schick"
"454","Schimmer","1. FC Heidenheim","Sturm",1,"GER","FW,MF","30",1994,0,0,13,5,6,234,18,2.7,"4.70",15,38,0,1.1,-1.1,"0.00",0,0,0,0,0,0.3,-0.3,"0.00",0,-1.3,"0.00",0,0.39,-0.39,"0.00",0,0.09,-0.09,"0.00",0,0.48,-0.48,"0.00",0,1,0,0,0,26,-24,0,0,0,0,0,0,0,0,2,"Stefan Schimmer","https://fbref.com/en/players/395bbb60/Stefan-Schimmer"
"455","Schmetgens","Werder Bremen",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",0,3,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"456","Schmid","Werder Bremen","Mittelfeld",3.2,"AUT","MF","24",2000,32,32,0,0,0,2846,89,31.5,"3.33",53,52,4,3.5,0.5,"1.14",1,1,0,5,0,6.2,-2.2,"0.65",8,-1.7,"0.82",0.13,0.11,0.02,"1.18",0.13,0.2,-0.07,"0.65",0.25,0.31,-0.06,"0.81",0,4,0,0,5,128,22,16,4,10,0,0,0,15,0,195,"Romano Schmid","https://fbref.com/en/players/220ace7e/Romano-Schmid"
"457","Schmitt","Bayern München",NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,"NaN",4,2,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"458","Schmitz","FC St. Pauli","Mittelfeld",0.5,NA,NA,NA,NA,0,0,0,0,9,0,NA,NA,"NaN",8,10,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"459","Schwolow","1. FC Union Berlin","Tor",0.8,"GER","GK","32",1992,6,6,0,0,26,540,90,6,"3.50",33,48,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,"Alexander Schwolow","https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
"460","Schäfer","1. FC Union Berlin","Mittelfeld",1.8,"HUN","MF","25",1999,17,17,9,2,7,1538,59,17,"3.87",34,50,1,0.6,0.4,"1.67",0,0,0,1,0,0.9,0.1,"1.11",2,0.5,"1.33",0.06,0.04,0.02,"1.50",0.06,0.05,0.01,"1.20",0.12,0.09,0.03,"1.33",0,3,0,0,0,86,-28,4,0,2,0,0,0,0,0,64,"András Schäfer","https://fbref.com/en/players/049751d7/Andras-Schafer"
"461","Schöppner","1. FC Heidenheim","Mittelfeld",1.8,"GER","MF","25",1999,32,32,1,0,0,2690,82,29.8,"3.52",37,61,4,3.9,0.1,"1.03",0,0,0,3,0,3.4,-0.4,"0.88",7,-0.3,"0.96",0.13,0.13,0,"1.00",0.1,0.12,-0.02,"0.83",0.23,0.25,-0.02,"0.92",0,8,0,0,0,130,-2,16,0,6,0,0,0,0,0,150,"Jan Schöppner","https://fbref.com/en/players/932bfcac/Jan-Schoppner"
