ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00152047;Shio;Fukuda;Fukuda;Shio Fukuda;Bor. Mönchengladbach;FORWARD;800000;15;0.0
pl-k00152081;Winsley;Boteli;Boteli;Winsley Boteli;Bor. Mönchengladbach;FORWARD;999000000;0;0.0
pl-k00152300;Kurt;Rüger;Rüger;Kurt Rüger;Bayern München;DEFENDER;999000000;0;0.0
pl-k00152335;Michael;Scott;Scott;Michael Scott;Bayern München;FORWARD;999000000;0;0.0
pl-k00152407;Christopher;Olivier;Olivier;Christopher Olivier;VfB Stuttgart;MIDFIELDER;999000000;0;0.0
pl-k00152928;Franci;Bouebari;Bouebari;Franci Bouebari;SC Freiburg;DEFENDER;999000000;0;0.0
pl-k00153240;Oladapo;Afolayan;Afolayan;Oladapo Afolayan;FC St. Pauli;FORWARD;1700000;69;3.96
pl-k00153415;Marko;Ivezic;Ivezic;Marko Ivezic;Holstein Kiel;MIDFIELDER;1600000;32;4.16
pl-k00153573;Carl;Johansson;Johansson;Carl Johansson;Holstein Kiel;DEFENDER;1400000;6;4.42
pl-k00153578;Gift;Orban;Orban;Gift Orban;TSG Hoffenheim;FORWARD;2200000;24;4.08
pl-k00153662;Kaishu;Sano;Sano;Kaishu Sano;1. FSV Mainz 05;MIDFIELDER;1800000;189;3.13
pl-k00153779;Johan;Manzambi;Manzambi;Johan Manzambi;SC Freiburg;MIDFIELDER;500000;52;2.88
pl-k00154032;Mats;Heitmann;Heitmann;Mats Heitmann;Werder Bremen;DEFENDER;500000;0;0.0
pl-k00154544;Constantin;Kresin;Kresin;Constantin Kresin;FC Augsburg;MIDFIELDER;999000000;0;0.0
pl-k00154546;Noahkai;Banks;Banks;Noahkai Banks;FC Augsburg;DEFENDER;1200000;28;3.0
pl-k00155136;Kaua;Morais Vieira dos Santos;Kaua Santos;Kaua Santos;Eintracht Frankfurt;GOALKEEPER;500000;59;3.06
pl-k00155505;Anthony;Pavlesic;Pavlesic;Anthony Pavlesic;Bayern München;GOALKEEPER;999000000;0;0.0
pl-k00155796;Bennit;Bröger;Bröger;Bennit Bröger;VfL Wolfsburg;MIDFIELDER;500000;0;0.0
pl-k00156270;Drew;Murray;Murray;Drew Murray;SC Freiburg;DEFENDER;999000000;0;0.0
pl-k00156588;Tidiam;Gomis;Gomis;Tidiam Gomis;RB Leipzig;FORWARD;1200000;18;3.75
pl-k00157954;Ethan;Kohler;Kohler;Ethan Kohler;Werder Bremen;MIDFIELDER;999000000;0;0.0
pl-k00158031;Moritz;Kaube;Kaube;Moritz Kaube;FC Augsburg;MIDFIELDER;999000000;0;0.0
pl-k00158085;David ;Tritschler;Tritschler;David  Tritschler;VfB Stuttgart;FORWARD;999000000;0;0.0
pl-k00158133;Davis;Bautista;Bautista;Davis Bautista;Eintracht Frankfurt;DEFENDER;999000000;0;0.0
pl-k00158167;Simon;Kalambayi;Kalambayi;Simon Kalambayi;TSG Hoffenheim;FORWARD;500000;0;0.0
pl-k00158448;Noah;Müller;Müller;Noah Müller;FC Augsburg;FORWARD;999000000;0;0.0
pl-k00158457;Philipp;Hack;Hack;Philipp Hack;Holstein Kiel;FORWARD;999000000;0;0.0
pl-k00158733;Oluwaseun;Ogbemudia;Ogbemudia;Oluwaseun Ogbemudia;1. FC Union Berlin;DEFENDER;500000;0;0.0
pl-k00158861;Spyros;Angelidis;Angelidis;Spyros Angelidis;Werder Bremen;GOALKEEPER;999000000;0;0.0
pl-k00159131;Maximilian;Herwerth;Herwerth;Maximilian Herwerth;VfB Stuttgart;DEFENDER;999000000;0;0.0
pl-k00159501;Kerim;Yaman;Yaman;Kerim Yaman;FC Augsburg;MIDFIELDER;999000000;0;0.0
pl-k00159502;Fynn;Heinze;Heinze;Fynn Heinze;FC Augsburg;MIDFIELDER;999000000;0;0.0
pl-k00159979;Emil;Staugaard;Staugaard;Emil Staugaard;FC St. Pauli;DEFENDER;999000000;0;0.0
pl-k00160865;Thieß;Mahnel;Mahnel;Thieß Mahnel;FC St. Pauli;DEFENDER;999000000;0;0.0
pl-k00160867;Ols;Backhaus;Backhaus;Ols Backhaus;FC St. Pauli;MIDFIELDER;999000000;0;0.0
pl-k00160935;Jonathan;Foss;Foss;Jonathan Foss;Bor. Mönchengladbach;DEFENDER;999000000;0;0.0
