"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";8;"1. FSV Mainz 05";"start";"Zentner";0;90;2;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;TRUE
"2";8;"1. FSV Mainz 05";"start";"Kohr";0;90;4;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"3";8;"1. FSV Mainz 05";"start";"Jenz";0;90;3;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"4";8;"1. FSV Mainz 05";"start";"Leitsch";0;90;3,5;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"5";8;"1. FSV Mainz 05";"start";"Caci";0;88;2,5;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;1;0;0;FALSE
"6";8;"1. FSV Mainz 05";"start";"Sano";0;90;3,5;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"7";8;"1. FSV Mainz 05";"start";"Amiri";0;90;3;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;1;0;0;FALSE
"8";8;"1. FSV Mainz 05";"start";"Mwene";0;90;3,5;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"9";8;"1. FSV Mainz 05";"start";"Nebel";0;90;3;"home";"Bor. Mönchengladbach";"1";"1";0;0;1;0;0;0;0;0;FALSE
"10";8;"1. FSV Mainz 05";"start";"J.-S. Lee";0;82;4,5;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"11";8;"1. FSV Mainz 05";"start";"Burkardt";0;20;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"12";8;"1. FSV Mainz 05";"sub";"Sieb";20;88;4;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"13";8;"1. FSV Mainz 05";"sub";"Hong";82;90;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"14";8;"1. FSV Mainz 05";"sub";"Widmer";88;90;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;1;0;0;FALSE
"15";8;"1. FSV Mainz 05";"sub";"Weiper";88;90;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"16";8;"1. FSV Mainz 05";"bench";"Rieß";NA;NA;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"17";8;"1. FSV Mainz 05";"bench";"Bell";NA;NA;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"18";8;"1. FSV Mainz 05";"bench";"da Costa";NA;NA;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"19";8;"1. FSV Mainz 05";"bench";"Barkok";NA;NA;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"20";8;"1. FSV Mainz 05";"bench";"Gleiber";NA;NA;NA;"home";"Bor. Mönchengladbach";"1";"1";0;0;0;0;0;0;0;0;FALSE
"21";8;"Bor. Mönchengladbach";"start";"Nicolas";0;90;3;"away";"1. FSV Mainz 05";"1";"1";0;0;0;0;0;0;0;0;FALSE
"22";8;"Bor. Mönchengladbach";"start";"Lainer";0;90;4,5;"away";"1. FSV Mainz 05";"1";"1";0;0;0;0;1;0;0;0;FALSE
"23";8;"Bor. Mönchengladbach";"start";"Itakura";0;90;3,5;"away";"1. FSV Mainz 05";"1";"1";0;0;0;0;0;0;0;0;FALSE
"24";8;"Bor. Mönchengladbach";"start";"Friedrich";0;90;3,5;"away";"1. FSV Mainz 05";"1";"1";0;0;0;0;0;0;0;0;FALSE
"25";8;"Bor. Mönchengladbach";"start";"Scally";0;90;5;"away";"1. FSV Mainz 05";"1";"1";0;0;0;0;0;1;0;0;FALSE
