"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";10;"1. FC Union Berlin";"start";"Rönnow";0;90;2,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;TRUE
"2";10;"1. FC Union Berlin";"start";"Doekhi";0;90;3;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"3";10;"1. FC Union Berlin";"start";"Vogt";0;90;3,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;1;0;0;FALSE
"4";10;"1. FC Union Berlin";"start";"Diogo Leite";0;90;3,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"5";10;"1. FC Union Berlin";"start";"Trimmel";0;90;3,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"6";10;"1. FC Union Berlin";"start";"Kemlein";0;84;3;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"7";10;"1. FC Union Berlin";"start";"R. Khedira";0;90;4,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;1;0;0;FALSE
"8";10;"1. FC Union Berlin";"start";"Skov";0;78;4,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"9";10;"1. FC Union Berlin";"start";"Jeong";0;73;3,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"10";10;"1. FC Union Berlin";"start";"Vertessen";0;73;4;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"11";10;"1. FC Union Berlin";"start";"Hollerbach";0;72;3,5;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"12";10;"1. FC Union Berlin";"sub";"Schäfer";72;90;NA;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
"13";10;"1. FC Union Berlin";"sub";"Skarke";73;90;NA;"home";"SC Freiburg";"0";"0";0;0;0;0;0;0;0;0;FALSE
