"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";7;"Borussia Dortmund";"start";"Kobel";0;90;3,5;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"2";7;"Borussia Dortmund";"start";"Ryerson";0;90;4;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"3";7;"Borussia Dortmund";"start";"Anton";0;90;3;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"4";7;"Borussia Dortmund";"start";"N. Schlotterbeck";0;90;3;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"5";7;"Borussia Dortmund";"start";"Bensebaini";0;90;2;"home";"FC St. Pauli";"2";"1";1;0;0;0;0;0;0;0;TRUE
"6";7;"Borussia Dortmund";"start";"P. Groß";0;46;3;"home";"FC St. Pauli";"2";"1";0;0;1;0;0;0;0;0;FALSE
"7";7;"Borussia Dortmund";"start";"Can";0;69;4,5;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"8";7;"Borussia Dortmund";"start";"Malen";0;76;4;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"9";7;"Borussia Dortmund";"start";"Brandt";0;90;2,5;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;1;0;0;FALSE
"10";7;"Borussia Dortmund";"start";"Sabitzer";0;90;3,5;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"11";7;"Borussia Dortmund";"start";"Guirassy";0;90;2,5;"home";"FC St. Pauli";"2";"1";1;0;0;0;0;0;0;0;FALSE
"12";7;"Borussia Dortmund";"sub";"Gittens";46;90;2,5;"home";"FC St. Pauli";"2";"1";0;0;1;0;0;1;0;0;FALSE
"13";7;"Borussia Dortmund";"sub";"F. Nmecha";69;90;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"14";7;"Borussia Dortmund";"sub";"Beier";76;90;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"15";7;"Borussia Dortmund";"sub";"Wätjen";90;90;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"16";7;"Borussia Dortmund";"bench";"A. Meyer";NA;NA;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"17";7;"Borussia Dortmund";"bench";"Kabar";NA;NA;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"18";7;"Borussia Dortmund";"bench";"Lührs";NA;NA;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"19";7;"Borussia Dortmund";"bench";"Mané";NA;NA;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"20";7;"Borussia Dortmund";"bench";"Campbell";NA;NA;NA;"home";"FC St. Pauli";"2";"1";0;0;0;0;0;0;0;0;FALSE
"21";7;"FC St. Pauli";"start";"Vasilj";0;90;2,5;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"22";7;"FC St. Pauli";"start";"Wahl";0;90;3;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"23";7;"FC St. Pauli";"start";"Smith";0;90;2,5;"away";"Borussia Dortmund";"1";"2";1;0;0;0;0;1;0;0;FALSE
"24";7;"FC St. Pauli";"start";"Mets";0;90;4;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"25";7;"FC St. Pauli";"start";"Saliakas";0;82;4;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"26";7;"FC St. Pauli";"start";"Irvine";0;90;4;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"27";7;"FC St. Pauli";"start";"R. Wagner";0;90;3,5;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"28";7;"FC St. Pauli";"start";"Treu";0;90;3,5;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"29";7;"FC St. Pauli";"start";"Afolayan";0;88;4,5;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"30";7;"FC St. Pauli";"start";"Guilavogui";0;69;4;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"31";7;"FC St. Pauli";"start";"J. Eggestein";0;88;4,5;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"32";7;"FC St. Pauli";"sub";"Banks";69;90;NA;"away";"Borussia Dortmund";"1";"2";0;0;1;0;0;0;0;0;FALSE
"33";7;"FC St. Pauli";"sub";"Dzwigala";82;90;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"34";7;"FC St. Pauli";"sub";"Albers";88;90;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"35";7;"FC St. Pauli";"sub";"Sinani";88;90;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"36";7;"FC St. Pauli";"bench";"Ron. Seibt";NA;NA;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"37";7;"FC St. Pauli";"bench";"Nemeth";NA;NA;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"38";7;"FC St. Pauli";"bench";"La. Ritzka";NA;NA;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"39";7;"FC St. Pauli";"bench";"Boukhalfa";NA;NA;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"40";7;"FC St. Pauli";"bench";"Schmitz";NA;NA;NA;"away";"Borussia Dortmund";"1";"2";0;0;0;0;0;0;0;0;FALSE
"41";7;"Bayer 04 Leverkusen";"start";"Hradecky";0;90;4;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"42";7;"Bayer 04 Leverkusen";"start";"Tapsoba";0;90;3;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"43";7;"Bayer 04 Leverkusen";"start";"Tah";0;90;2,5;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"44";7;"Bayer 04 Leverkusen";"start";"Hincapie";0;90;2,5;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;1;0;0;FALSE
"45";7;"Bayer 04 Leverkusen";"start";"Frimpong";0;80;3,5;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"46";7;"Bayer 04 Leverkusen";"start";"Andrich";0;90;2;"home";"Eintracht Frankfurt";"2";"1";1;0;0;0;0;0;0;0;TRUE
"47";7;"Bayer 04 Leverkusen";"start";"G. Xhaka";0;90;2;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"48";7;"Bayer 04 Leverkusen";"start";"Grimaldo";0;90;3;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;1;0;0;FALSE
"49";7;"Bayer 04 Leverkusen";"start";"Terrier";0;64;2,5;"home";"Eintracht Frankfurt";"2";"1";0;0;1;0;0;0;0;0;FALSE
"50";7;"Bayer 04 Leverkusen";"start";"Adli";0;64;2,5;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"51";7;"Bayer 04 Leverkusen";"start";"Boniface";0;80;3;"home";"Eintracht Frankfurt";"2";"1";1;0;0;0;0;0;0;0;FALSE
"52";7;"Bayer 04 Leverkusen";"sub";"Wirtz";64;90;2;"home";"Eintracht Frankfurt";"2";"1";0;0;1;0;0;0;0;0;FALSE
"53";7;"Bayer 04 Leverkusen";"sub";"Aleix Garcia";64;90;3,5;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"54";7;"Bayer 04 Leverkusen";"sub";"Schick";80;90;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"55";7;"Bayer 04 Leverkusen";"sub";"Tella";80;90;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"56";7;"Bayer 04 Leverkusen";"bench";"Kovar";NA;NA;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"57";7;"Bayer 04 Leverkusen";"bench";"Belocian";NA;NA;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"58";7;"Bayer 04 Leverkusen";"bench";"Mukiele";NA;NA;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"59";7;"Bayer 04 Leverkusen";"bench";"Hofmann";NA;NA;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"60";7;"Bayer 04 Leverkusen";"bench";"Palacios";NA;NA;NA;"home";"Eintracht Frankfurt";"2";"1";0;0;0;0;0;0;0;0;FALSE
"61";7;"Eintracht Frankfurt";"start";"Trapp";0;90;4;"away";"Bayer 04 Leverkusen";"1";"2";0;0;0;0;0;0;0;0;FALSE
"62";7;"Eintracht Frankfurt";"start";"Kristensen";0;90;4;"away";"Bayer 04 Leverkusen";"1";"2";0;0;0;0;0;0;0;0;FALSE
