"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";33;"VfL Wolfsburg";"start";"Grabara";0;90;2,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"2";33;"VfL Wolfsburg";"start";"Fischer";0;61;3,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"3";33;"VfL Wolfsburg";"start";"Vavro";0;90;2,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"4";33;"VfL Wolfsburg";"start";"Koulierakis";0;90;3,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"5";33;"VfL Wolfsburg";"start";"Maehle";0;90;4,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"6";33;"VfL Wolfsburg";"start";"Vranckx";0;46;4;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"7";33;"VfL Wolfsburg";"start";"Gerhardt";0;90;4;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"8";33;"VfL Wolfsburg";"start";"Wimmer";0;72;3,5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"9";33;"VfL Wolfsburg";"start";"Kaminski";0;46;5;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"10";33;"VfL Wolfsburg";"start";"Amoura";0;89;3;"home";"TSG Hoffenheim";"2";"2";0;0;1;0;0;0;0;0;FALSE
"11";33;"VfL Wolfsburg";"start";"Wind";0;90;3;"home";"TSG Hoffenheim";"2";"2";1;0;0;0;0;0;0;0;FALSE
"12";33;"VfL Wolfsburg";"sub";"Majer";46;90;2,5;"home";"TSG Hoffenheim";"2";"2";0;0;1;0;0;0;0;0;FALSE
"13";33;"VfL Wolfsburg";"sub";"Skov Olsen";46;90;4;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"14";33;"VfL Wolfsburg";"sub";"Roerslev";61;90;4;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"15";33;"VfL Wolfsburg";"sub";"L. Nmecha";72;90;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"16";33;"VfL Wolfsburg";"sub";"Tiago Tomas";89;90;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"17";33;"VfL Wolfsburg";"bench";"Pervan";NA;NA;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"18";33;"VfL Wolfsburg";"bench";"Odogu";NA;NA;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"19";33;"VfL Wolfsburg";"bench";"B. Dardai";NA;NA;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"20";33;"VfL Wolfsburg";"bench";"Neininger";NA;NA;NA;"home";"TSG Hoffenheim";"2";"2";0;0;0;0;0;0;0;0;FALSE
"21";33;"TSG Hoffenheim";"start";"Baumann";0;90;2,5;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"22";33;"TSG Hoffenheim";"start";"Arthur Chaves";0;90;3;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"23";33;"TSG Hoffenheim";"start";"Östigaard";0;90;4,5;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;1;0;0;0;FALSE
"24";33;"TSG Hoffenheim";"start";"Akpoguma";0;90;3,5;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"25";33;"TSG Hoffenheim";"start";"Stach";0;90;2,5;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;1;0;0;FALSE
"26";33;"TSG Hoffenheim";"start";"Kaderabek";0;90;2,5;"away";"VfL Wolfsburg";"2";"2";1;0;0;0;0;0;0;0;FALSE
"27";33;"TSG Hoffenheim";"start";"Bischof";0;88;3;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"28";33;"TSG Hoffenheim";"start";"Kramaric";0;90;4;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;1;0;0;FALSE
"29";33;"TSG Hoffenheim";"start";"Bülter";0;90;2,5;"away";"VfL Wolfsburg";"2";"2";1;0;1;0;0;0;0;0;TRUE
"30";33;"TSG Hoffenheim";"start";"Touré";0;71;4;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"31";33;"TSG Hoffenheim";"start";"Hlozek";0;90;2,5;"away";"VfL Wolfsburg";"2";"2";0;0;1;0;0;0;0;0;FALSE
"32";33;"TSG Hoffenheim";"sub";"Tabakovic";71;90;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"33";33;"TSG Hoffenheim";"sub";"Becker";88;90;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"34";33;"TSG Hoffenheim";"sub";"Geiger";90;90;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"35";33;"TSG Hoffenheim";"bench";"Philipp";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"36";33;"TSG Hoffenheim";"bench";"Hranac";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"37";33;"TSG Hoffenheim";"bench";"D. Jurasek";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"38";33;"TSG Hoffenheim";"bench";"Prass";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"39";33;"TSG Hoffenheim";"bench";"Tohumcu";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"40";33;"TSG Hoffenheim";"bench";"Moerstedt";NA;NA;NA;"away";"VfL Wolfsburg";"2";"2";0;0;0;0;0;0;0;0;FALSE
"41";33;"Werder Bremen";"start";"Zetterer";0;90;2,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"42";33;"Werder Bremen";"start";"Stark";0;90;3;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"43";33;"Werder Bremen";"start";"Friedl";0;90;2,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;1;0;0;FALSE
"44";33;"Werder Bremen";"start";"Pieper";0;90;2,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"45";33;"Werder Bremen";"start";"Weiser";0;88;2,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"46";33;"Werder Bremen";"start";"Lynen";0;85;4;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"47";33;"Werder Bremen";"start";"Agu";0;79;3,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"48";33;"Werder Bremen";"start";"Stage";0;90;3,5;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"49";33;"Werder Bremen";"start";"Schmid";0;90;3;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"50";33;"Werder Bremen";"start";"Burke";0;79;4;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"51";33;"Werder Bremen";"start";"Ducksch";0;90;3;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"52";33;"Werder Bremen";"sub";"Köhn";79;90;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"53";33;"Werder Bremen";"sub";"Grüll";79;90;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"54";33;"Werder Bremen";"sub";"Bittencourt";85;90;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"55";33;"Werder Bremen";"sub";"Njinmah";88;90;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"56";33;"Werder Bremen";"bench";"Backhaus";NA;NA;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"57";33;"Werder Bremen";"bench";"A. Jung";NA;NA;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"58";33;"Werder Bremen";"bench";"Malatini";NA;NA;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"59";33;"Werder Bremen";"bench";"Silva";NA;NA;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"60";33;"Werder Bremen";"bench";"Topp";NA;NA;NA;"home";"RB Leipzig";"0";"0";0;0;0;0;0;0;0;0;FALSE
"61";33;"RB Leipzig";"start";"Gulacsi";0;90;1;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;TRUE
"62";33;"RB Leipzig";"start";"Nedeljkovic";0;90;4;"away";"Werder Bremen";"0";"0";0;0;0;0;0;1;0;0;FALSE
"63";33;"RB Leipzig";"start";"Klostermann";0;90;4;"away";"Werder Bremen";"0";"0";0;0;0;0;0;1;0;0;FALSE
"64";33;"RB Leipzig";"start";"Bitshiabu";0;90;3;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"65";33;"RB Leipzig";"start";"Lukeba";0;90;3;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"66";33;"RB Leipzig";"start";"Seiwald";0;90;4;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"67";33;"RB Leipzig";"start";"Vermeeren";0;87;3,5;"away";"Werder Bremen";"0";"0";0;0;0;0;0;1;0;0;FALSE
"68";33;"RB Leipzig";"start";"Baumgartner";0;80;5;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"69";33;"RB Leipzig";"start";"Xavi";0;90;4,5;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"70";33;"RB Leipzig";"start";"Sesko";0;69;5;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"71";33;"RB Leipzig";"start";"Openda";0;69;5;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"72";33;"RB Leipzig";"sub";"Poulsen";69;90;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"73";33;"RB Leipzig";"sub";"Nusa";69;90;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"74";33;"RB Leipzig";"sub";"R. Baku";80;90;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"75";33;"RB Leipzig";"sub";"Gomis";87;90;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"76";33;"RB Leipzig";"bench";"Vandevoordt";NA;NA;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"77";33;"RB Leipzig";"bench";"Geertruida";NA;NA;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"78";33;"RB Leipzig";"bench";"Norbye";NA;NA;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"79";33;"RB Leipzig";"bench";"Ouedraogo";NA;NA;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"80";33;"RB Leipzig";"bench";"Walther";NA;NA;NA;"away";"Werder Bremen";"0";"0";0;0;0;0;0;0;0;0;FALSE
"81";33;"1. FC Union Berlin";"start";"Rönnow";0;90;3;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"82";33;"1. FC Union Berlin";"start";"Doekhi";0;90;4,5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"83";33;"1. FC Union Berlin";"start";"Querfeld";0;90;5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;1;0;0;FALSE
"84";33;"1. FC Union Berlin";"start";"Vogt";0;63;5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"85";33;"1. FC Union Berlin";"start";"Trimmel";0;63;4;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"86";33;"1. FC Union Berlin";"start";"R. Khedira";0;90;4;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"87";33;"1. FC Union Berlin";"start";"Rothe";0;63;4,5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"88";33;"1. FC Union Berlin";"start";"Haberer";0;90;4;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;1;0;0;FALSE
"89";33;"1. FC Union Berlin";"start";"Benes";0;71;5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"90";33;"1. FC Union Berlin";"start";"Hollerbach";0;90;4,5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"91";33;"1. FC Union Berlin";"start";"Ilic";0;46;4,5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"92";33;"1. FC Union Berlin";"sub";"Ljubicic";46;90;5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"93";33;"1. FC Union Berlin";"sub";"Juranovic";63;90;4;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"94";33;"1. FC Union Berlin";"sub";"Preu";63;90;4;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"95";33;"1. FC Union Berlin";"sub";"Skarke";63;90;4,5;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"96";33;"1. FC Union Berlin";"sub";"Schäfer";71;90;NA;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"97";33;"1. FC Union Berlin";"bench";"Schwolow";NA;NA;NA;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"98";33;"1. FC Union Berlin";"bench";"Ogbemudia";NA;NA;NA;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"99";33;"1. FC Union Berlin";"bench";"Tousart";NA;NA;NA;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"100";33;"1. FC Union Berlin";"bench";"Volland";NA;NA;NA;"home";"1. FC Heidenheim";"0";"3";0;0;0;0;0;0;0;0;FALSE
"101";33;"1. FC Heidenheim";"start";"Feller";0;90;3;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"102";33;"1. FC Heidenheim";"start";"P. Mainka";0;90;2,5;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"103";33;"1. FC Heidenheim";"start";"Gimber";0;90;3;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"104";33;"1. FC Heidenheim";"start";"Siersleben";0;90;2,5;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"105";33;"1. FC Heidenheim";"start";"Traoré";0;83;3,5;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"106";33;"1. FC Heidenheim";"start";"Schöppner";0;89;2,5;"away";"1. FC Union Berlin";"3";"0";1;0;0;0;0;0;0;0;FALSE
"107";33;"1. FC Heidenheim";"start";"Dorsch";0;80;3;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"108";33;"1. FC Heidenheim";"start";"Krätzig";0;90;3;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"109";33;"1. FC Heidenheim";"start";"Wanner";0;90;3;"away";"1. FC Union Berlin";"3";"0";0;0;1;0;0;0;0;0;FALSE
"110";33;"1. FC Heidenheim";"start";"Beck";0;80;1,5;"away";"1. FC Union Berlin";"3";"0";2;0;0;0;0;0;0;0;TRUE
"111";33;"1. FC Heidenheim";"start";"Pieringer";0;83;2;"away";"1. FC Union Berlin";"3";"0";0;0;2;0;0;0;0;0;FALSE
"112";33;"1. FC Heidenheim";"sub";"Busch";80;90;NA;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
"113";33;"1. FC Heidenheim";"sub";"Honsak";80;90;NA;"away";"1. FC Union Berlin";"3";"0";0;0;0;0;0;0;0;0;FALSE
