"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";30;"RB Leipzig";"start";"Gulacsi";0;67;2,5;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"2";30;"RB Leipzig";"start";"Nedeljkovic";0;46;5;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"3";30;"RB Leipzig";"start";"Klostermann";0;90;4,5;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;1;0;0;FALSE
"4";30;"RB Leipzig";"start";"Bitshiabu";0;90;4;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"5";30;"RB Leipzig";"start";"Lukeba";0;90;4;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"6";30;"RB Leipzig";"start";"Seiwald";0;90;3;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"7";30;"RB Leipzig";"start";"Vermeeren";0;46;5;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"8";30;"RB Leipzig";"start";"R. Baku";0;90;5;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"9";30;"RB Leipzig";"start";"Baumgartner";0;90;4;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"10";30;"RB Leipzig";"start";"Sesko";0;90;3,5;"home";"Holstein Kiel";"1";"1";0;1;0;0;0;0;0;0;FALSE
"11";30;"RB Leipzig";"start";"Openda";0;90;3,5;"home";"Holstein Kiel";"1";"1";0;0;0;1;0;0;0;0;FALSE
"12";30;"RB Leipzig";"sub";"Geertruida";46;90;3;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"13";30;"RB Leipzig";"sub";"A. Haidara";46;90;3;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"14";30;"RB Leipzig";"sub";"Vandevoordt";67;90;NA;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"15";30;"RB Leipzig";"sub";"Poulsen";90;90;NA;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"16";30;"RB Leipzig";"sub";"Gomis";90;90;NA;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"17";30;"RB Leipzig";"bench";"Norbye";NA;NA;NA;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
"18";30;"RB Leipzig";"bench";"Voufack";NA;NA;NA;"home";"Holstein Kiel";"1";"1";0;0;0;0;0;0;0;0;FALSE
