"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";24;"VfB Stuttgart";"start";"Nübel";0;90;4,5;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"2";24;"VfB Stuttgart";"start";"Vagnoman";0;90;4,5;"home";"Bayern München";"1";"3";0;0;1;0;0;0;0;0;FALSE
"3";24;"VfB Stuttgart";"start";"Jeltsch";0;90;3;"home";"Bayern München";"1";"3";0;0;0;0;0;1;0;0;FALSE
"4";24;"VfB Stuttgart";"start";"Chabot";0;70;3;"home";"Bayern München";"1";"3";0;0;0;0;0;1;0;0;FALSE
"5";24;"VfB Stuttgart";"start";"Mittelstädt";0;90;4,5;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"6";24;"VfB Stuttgart";"start";"Karazor";0;81;4;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"7";24;"VfB Stuttgart";"start";"Stiller";0;90;4,5;"home";"Bayern München";"1";"3";1;0;0;0;0;0;0;0;FALSE
"8";24;"VfB Stuttgart";"start";"Leweling";0;70;2,5;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"9";24;"VfB Stuttgart";"start";"Undav";0;90;3,5;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"10";24;"VfB Stuttgart";"start";"Führich";0;81;4;"home";"Bayern München";"1";"3";0;0;0;0;0;1;0;0;FALSE
"11";24;"VfB Stuttgart";"start";"Woltemade";0;90;3;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"12";24;"VfB Stuttgart";"sub";"Hendriks";70;90;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"13";24;"VfB Stuttgart";"sub";"Millot";70;90;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;1;0;0;FALSE
"14";24;"VfB Stuttgart";"sub";"Bruun Larsen";81;90;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"15";24;"VfB Stuttgart";"sub";"Demirovic";81;90;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;1;0;0;FALSE
"16";24;"VfB Stuttgart";"bench";"Bredlow";NA;NA;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"17";24;"VfB Stuttgart";"bench";"Jaquez";NA;NA;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"18";24;"VfB Stuttgart";"bench";"P. Stenzel";NA;NA;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"19";24;"VfB Stuttgart";"bench";"Keitel";NA;NA;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"20";24;"VfB Stuttgart";"bench";"Rieder";NA;NA;NA;"home";"Bayern München";"1";"3";0;0;0;0;0;0;0;0;FALSE
"21";24;"Bayern München";"start";"Neuer";0;90;3;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"22";24;"Bayern München";"start";"Laimer";0;76;4;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;1;0;0;FALSE
"23";24;"Bayern München";"start";"Dier";0;90;3;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"24";24;"Bayern München";"start";"M.-J. Kim";0;90;2;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"25";24;"Bayern München";"start";"Davies";0;87;4,5;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"26";24;"Bayern München";"start";"Goretzka";0;90;2,5;"away";"VfB Stuttgart";"3";"1";1;0;0;0;0;1;0;0;FALSE
"27";24;"Bayern München";"start";"Joao Palhinha";0;90;4;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"28";24;"Bayern München";"start";"Olise";0;87;2;"away";"VfB Stuttgart";"3";"1";1;0;0;0;0;0;0;0;TRUE
"29";24;"Bayern München";"start";"Musiala";0;87;3;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"30";24;"Bayern München";"start";"L. Sané";0;62;3,5;"away";"VfB Stuttgart";"3";"1";0;0;1;0;0;0;0;0;FALSE
"31";24;"Bayern München";"start";"Kane";0;90;3,5;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;1;0;0;FALSE
"32";24;"Bayern München";"sub";"Coman";62;90;2,5;"away";"VfB Stuttgart";"3";"1";1;0;0;0;0;0;0;0;FALSE
"33";24;"Bayern München";"sub";"Stanisic";76;90;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"34";24;"Bayern München";"sub";"Gnabry";87;90;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"35";24;"Bayern München";"sub";"T. Müller";87;90;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"36";24;"Bayern München";"sub";"H. Ito";87;90;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"37";24;"Bayern München";"bench";"Urbig";NA;NA;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"38";24;"Bayern München";"bench";"Guerreiro";NA;NA;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"39";24;"Bayern München";"bench";"Upamecano";NA;NA;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"40";24;"Bayern München";"bench";"Vidovic";NA;NA;NA;"away";"VfB Stuttgart";"3";"1";0;0;0;0;0;0;0;0;FALSE
"41";24;"RB Leipzig";"start";"Gulacsi";0;90;3;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"42";24;"RB Leipzig";"start";"Geertruida";0;59;4,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"43";24;"RB Leipzig";"start";"Orban";0;90;3,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"44";24;"RB Leipzig";"start";"Bitshiabu";0;72;4;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"45";24;"RB Leipzig";"start";"R. Baku";0;90;4,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"46";24;"RB Leipzig";"start";"Vermeeren";0;78;4;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"47";24;"RB Leipzig";"start";"A. Haidara";0;59;4;"home";"1. FSV Mainz 05";"1";"2";0;0;1;0;0;1;0;0;FALSE
"48";24;"RB Leipzig";"start";"Raum";0;90;3,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"49";24;"RB Leipzig";"start";"Xavi";0;90;3,5;"home";"1. FSV Mainz 05";"1";"2";1;0;0;0;0;0;0;0;FALSE
"50";24;"RB Leipzig";"start";"Openda";0;72;4,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"51";24;"RB Leipzig";"start";"Sesko";0;90;3,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"52";24;"RB Leipzig";"sub";"Seiwald";59;90;3,5;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"53";24;"RB Leipzig";"sub";"Kampl";59;90;4;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"54";24;"RB Leipzig";"sub";"Lukeba";72;90;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"55";24;"RB Leipzig";"sub";"Nedeljkovic";72;90;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"56";24;"RB Leipzig";"sub";"Poulsen";78;90;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"57";24;"RB Leipzig";"bench";"Vandevoordt";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"58";24;"RB Leipzig";"bench";"Zingerle";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"59";24;"RB Leipzig";"bench";"Klostermann";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"60";24;"RB Leipzig";"bench";"Gomis";NA;NA;NA;"home";"1. FSV Mainz 05";"1";"2";0;0;0;0;0;0;0;0;FALSE
"61";24;"1. FSV Mainz 05";"start";"Zentner";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"62";24;"1. FSV Mainz 05";"start";"da Costa";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"63";24;"1. FSV Mainz 05";"start";"Jenz";0;90;2;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"64";24;"1. FSV Mainz 05";"start";"Hanche-Olsen";0;90;3,5;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"65";24;"1. FSV Mainz 05";"start";"Caci";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"66";24;"1. FSV Mainz 05";"start";"Sano";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"67";24;"1. FSV Mainz 05";"start";"Amiri";0;83;2;"away";"RB Leipzig";"2";"1";1;0;1;0;0;0;0;0;TRUE
"68";24;"1. FSV Mainz 05";"start";"Mwene";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"69";24;"1. FSV Mainz 05";"start";"Nebel";0;90;3,5;"away";"RB Leipzig";"2";"1";0;0;1;0;0;0;0;0;FALSE
"70";24;"1. FSV Mainz 05";"start";"J.-S. Lee";0;90;3;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"71";24;"1. FSV Mainz 05";"start";"Burkardt";0;75;2,5;"away";"RB Leipzig";"2";"1";1;0;0;0;0;0;0;0;FALSE
"72";24;"1. FSV Mainz 05";"sub";"Weiper";75;90;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"73";24;"1. FSV Mainz 05";"sub";"Maloney";83;90;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;1;0;0;FALSE
"74";24;"1. FSV Mainz 05";"bench";"Rieß";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"75";24;"1. FSV Mainz 05";"bench";"Leitsch";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"76";24;"1. FSV Mainz 05";"bench";"Veratschnig";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"77";24;"1. FSV Mainz 05";"bench";"Widmer";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"78";24;"1. FSV Mainz 05";"bench";"Hong";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"79";24;"1. FSV Mainz 05";"bench";"Nordin";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"80";24;"1. FSV Mainz 05";"bench";"Sieb";NA;NA;NA;"away";"RB Leipzig";"2";"1";0;0;0;0;0;0;0;0;FALSE
"81";24;"1. FC Heidenheim";"start";"Ke. Müller";0;90;4;"home";"Bor. Mönchengladbach";"0";"3";0;0;0;0;0;0;0;0;FALSE
"82";24;"1. FC Heidenheim";"start";"P. Mainka";0;90;4,5;"home";"Bor. Mönchengladbach";"0";"3";0;0;0;0;0;1;0;0;FALSE
"83";24;"1. FC Heidenheim";"start";"Gimber";0;90;5;"home";"Bor. Mönchengladbach";"0";"3";0;0;0;0;0;1;0;0;FALSE
"84";24;"1. FC Heidenheim";"start";"Siersleben";0;90;4;"home";"Bor. Mönchengladbach";"0";"3";0;0;0;0;0;0;0;0;FALSE
