"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";23;"SC Freiburg";"start";"Atubolu";0;90;1,5;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"2";23;"SC Freiburg";"start";"Sildillia";0;90;2;"home";"Werder Bremen";"5";"0";1;0;0;0;0;0;0;0;FALSE
"3";23;"SC Freiburg";"start";"Ginter";0;90;2,5;"home";"Werder Bremen";"5";"0";0;0;0;0;0;1;0;0;FALSE
"4";23;"SC Freiburg";"start";"Lienhart";0;90;3;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"5";23;"SC Freiburg";"start";"Günter";0;82;3;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"6";23;"SC Freiburg";"start";"M. Eggestein";0;82;3;"home";"Werder Bremen";"5";"0";0;0;0;0;0;1;0;0;FALSE
"7";23;"SC Freiburg";"start";"Osterhage";0;90;3;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"8";23;"SC Freiburg";"start";"Doan";0;90;1,5;"home";"Werder Bremen";"5";"0";2;0;0;0;0;0;0;0;FALSE
"9";23;"SC Freiburg";"start";"Röhl";0;71;3,5;"home";"Werder Bremen";"5";"0";0;0;0;0;0;1;0;0;FALSE
"10";23;"SC Freiburg";"start";"Grifo";0;71;1,5;"home";"Werder Bremen";"5";"0";2;0;0;0;0;0;0;0;TRUE
"11";23;"SC Freiburg";"start";"Höler";0;77;3;"home";"Werder Bremen";"5";"0";0;0;1;0;0;0;0;0;FALSE
"12";23;"SC Freiburg";"sub";"Dinkci";71;90;NA;"home";"Werder Bremen";"5";"0";0;0;1;0;0;0;0;0;FALSE
"13";23;"SC Freiburg";"sub";"Beste";71;90;NA;"home";"Werder Bremen";"5";"0";0;0;1;0;0;0;0;0;FALSE
"14";23;"SC Freiburg";"sub";"Adamu";77;90;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"15";23;"SC Freiburg";"sub";"Makengo";82;90;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"16";23;"SC Freiburg";"sub";"Manzambi";82;90;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"17";23;"SC Freiburg";"bench";"F. Müller";NA;NA;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"18";23;"SC Freiburg";"bench";"Kübler";NA;NA;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"19";23;"SC Freiburg";"bench";"Höfler";NA;NA;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"20";23;"SC Freiburg";"bench";"Gregoritsch";NA;NA;NA;"home";"Werder Bremen";"5";"0";0;0;0;0;0;0;0;0;FALSE
"21";23;"Werder Bremen";"start";"Zetterer";0;90;4;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"22";23;"Werder Bremen";"start";"Pieper";0;86;5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"23";23;"Werder Bremen";"start";"Stark";0;90;4;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"24";23;"Werder Bremen";"start";"A. Jung";0;90;4,5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"25";23;"Werder Bremen";"start";"Weiser";0;90;5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"26";23;"Werder Bremen";"start";"Lynen";0;90;5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"27";23;"Werder Bremen";"start";"Köhn";0;60;4,5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
"28";23;"Werder Bremen";"start";"Bittencourt";0;60;4,5;"away";"SC Freiburg";"0";"5";0;0;0;0;0;0;0;0;FALSE
